DateTime,KTF1_Current,KTF1_Power,KTF1_Temp,KTF1_Voltage,KTF1_VSDSpeed(%),KTF1_VSDSpeedHz,KTF1_Run_Status,KTF1_Fault_Status,KTF2_Current,KTF2_Power,KTF2_Temp,KTF2_Voltage,KTF2_VSDSpeed(%),KTF2_VSDSpeedHz,KTF2_Run_Status,KTF2_Fault_Status,KTF3_Current,KTF3_Power,KTF3_Temp,KTF3_Voltage,KTF3_VSDSpeed(%),KTF3_VSDSpeedHz,KTF3_Run_Status,KTF3_Fault_Status,Korumburra CWS TANK.Value(%),Lance Creek CWS Tank.Value (mm),FIT2025 to Korumburra.Value (l/s) from Lance Creek WTP,FIT3033 Flow at KBR.Value (l/s) at Korumburra
2022-08-01 11:30:00,0,0,15,0,0,0,0,0,292.6699829,179.1499939,53,385.8000183,93.13314056,46.56657028,1,0,0,0,15,0,0,0,0,0,77.22999573,4116.120117,53.68000031,53.61000061
2022-08-01 11:40:00,0,0,15,0,0,0,0,0,293.5299988,179.019989,53,385.8000183,93.13240051,46.56620026,1,0,0,0,15,0,0,0,0,0,77.22999573,4098.189941,53.68000031,53.61000061
2022-08-01 11:50:00,0,0,15,0,0,0,0,0,292.5299988,179.6799927,53,385.8000183,93.13439178,46.56719589,1,0,0,0,15,0,0,0,0,0,77.22999573,4099.339844,53.68000031,53.61000061
2022-08-01 12:00:00,0,0,15,0,0,0,0,0,293.1000061,179.8600006,54,385.8000183,93.13539124,46.56769562,1,0,0,0,15,0,0,0,0,0,77.22999573,4100.859863,53.68000031,53.61000061
2022-08-01 12:10:00,0,0,15,0,0,0,0,0,292.5299988,180.3499908,54,385.8000183,93.13822937,46.56911469,1,0,0,0,15,0,0,0,0,0,76.63999939,4100.47998,54.07999802,53.98999786
2022-08-01 12:20:00,0,0,15,0,0,0,0,0,293.75,179.3099976,53,385.8000183,93.13460541,46.5673027,1,0,0,0,15,0,0,0,0,0,76.63999939,4097.049805,54.07999802,53.98999786
2022-08-01 12:30:00,0,0,15,0,0,0,0,0,294.25,179.5999908,53,385.8000183,93.13505554,46.56752777,1,0,0,0,15,0,0,0,0,0,76.63999939,4101.620117,54.07999802,53.98999786
2022-08-01 12:40:00,0,0,15,0,0,0,0,0,293.8899841,180,54,385.8000183,93.13772583,46.56886292,1,0,0,0,15,0,0,0,0,0,76.63999939,4098.569824,54.07999802,53.98999786
2022-08-01 12:50:00,0,0,15,0,0,0,0,0,292.8200073,180.2899933,54,385.8000183,93.13751221,46.5687561,1,0,0,0,15,0,0,0,0,0,76.63999939,4095.899902,54.07999802,53.98999786
2022-08-01 13:00:00,0,0,15,0,0,0,0,0,293.6000061,179.9899902,54,385.8000183,93.13677216,46.56838608,1,0,0,0,15,0,0,0,0,0,76.63999939,4095.139893,54.07999802,53.98999786
2022-08-01 13:10:00,0,0,15,0,0,0,0,0,293.25,179.8199921,54,385.8000183,93.13796997,46.56898499,1,0,0,0,15,0,0,0,0,0,76.41999817,4098.189941,53.63999939,54.16999817
2022-08-01 13:20:00,0,0,15,0,0,0,0,0,293.4599915,179.9400024,54,385.8000183,93.14267731,46.57133865,1,0,0,0,15,0,0,0,0,0,76.41999817,4098.189941,53.63999939,54.16999817
2022-08-01 13:30:00,0,0,15,0,0,0,0,0,293.6799927,180.019989,54,385.8000183,93.14022064,46.57011032,1,0,0,0,16,0,0,0,0,0,76.22999573,4095.52002,53.63999939,54.16999817
2022-08-01 13:40:00,0,0,15,0,0,0,0,0,293.3899841,180.1799927,54,385.8000183,93.13882446,46.56941223,1,0,0,0,16,0,0,0,0,0,76.22999573,4097.049805,53.63999939,54.16999817
